prompt_with_emotion,response_with_emotion
"I Felt hopeful when I met my betterhalf for the first time. She gives me hope for my remaining life without saying anything. I feel hopeful after my marriage. , hopeful","[""My marriage give me hopefulness about the life. exactly I want to say is may not it's marriage actually it's my wife given me the hope about the life. , annoyed"", 'Wao_comma_ that sound like a great strong realtionship you have with her_comma_ so glad to hear that!, sentimental', 'Yeah_comma_ thank you! at which situation did you feel hope for your life?, hopeful', 'When my first daugther was born! i saw in new life_comma_ i thought everything in the world can change_comma_ we need to be pure as kids., guilty', ""Wow! you're right. We should learn from kids. , proud"", 'When i see them_comma_ i believe thiw world in which we live fill with envy and hate can be rewed, lonely']"
"I accidentally ate a piece of cake that my mom made for my dad as a special gift_comma_ I felt pretty bad about it., guilty","['So the other day I ate a piece of cake that my mom made for my dad as a gift_comma_ oops., prepared', ""Oh no!  Well what he didn't know won't hurt him.  Hopefully you can get a replacement., annoyed"", 'Unfortunately he walked in right as I took the last bite! Fortunately it all worked out so no harm done., guilty', 'Awww well I am glad he was understanding about it., terrified']"
"I always donate my change when I shop at my local drug store. Makes me feel like I' doing something good., caring","['I like to give to charity., annoyed', 'What charities do you like to give too, confident', 'Whatever my local pharmacy is giving to at the time. I donate my change since I shop there a lot. It adds up., surprised', 'That is a very nice thing to do_comma_ I wish I could do more to help., terrified', 'Every litlle bit counts. Eventually I will be able to write a check., caring', 'I just put all my change in a giant bottle., hopeful']"
"I am afraid of clowns., afraid","['I am afraid of clowns., caring', 'oh gosh_comma_ me too!! especially the clown from the movie IT, caring', 'Yes I saw that movie and cried., surprised', 'i slept with a light on for a couple of night lol, caring']"
"I am afraid of heights., terrified","['I am afraid of heights., caring', ""I'm not a big fan of them either.  Are you able to go up in buildings with an elevator_comma_ etc..?, caring"", 'Yes_comma_ as long as I am with someone., caring', 'Has it ever caused you to not be able to enjoy certain things in life?, caring']"
"I am afraid of the upcoming economic crisis in the USA, afraid","['I am afraid of the upcoming economic crisis in the USA.It will affect all of us., surprised', ""I almost don't want to talk about it_comma_ you know? Are you doing anything to try to move from a place of fear to one of preparation or opportunity?, caring"", 'yes. I am saving all i can for when the storm comes., annoyed', 'Good for you. And I hope you have moments of joy while you prepare for that?, jealous', ""I don't get to have moments of joy in those situations., ashamed""]"
"I am always alone in the summer., lonely","['I am always alone in the summer., caring', 'Why are you alone so much in the summer?, caring', 'My wife goes to Canada to visit her mom., nostalgic', 'Do you have friends around? Go to a bar and meet some friends!, surprised']"
"I am an ESL teacher and one of my 3 year old students came to school singing an entire song all about the planets. It was so cute!, impressed","['I am an ESL teacher and one of my 3 year old students came to school singing an entire song all about the planets. It was so cute!, caring', 'Awe_comma_ I bet you felt so proud and happy for them. , caring', 'Yeah_comma_ it was a really special moment for me. Little kids that age are so cute!, jealous', ""I know_comma_ they can be amazing when they are learning and exploring the world... however_comma_ I still don't think having a different colored cup than the one they wanted warrants the response they tend to give. ( I have a 2 year old and a 3 year old son), caring"", 'Haha_comma_ I know that argument well. I teach some preschool/pre-k kids and they can definitely be a handful!, confident', 'I agree. I am still trying to figure out why they fight so much over Blippi and Peppa pig! They are both horrible_comma_ just pick one and get it over with.  I will be miserable through both_comma_ lol, caring']"
"I am annoyed by a coworker making joke about me., annoyed","['Recently_comma_ I have been annoyed by a coworker making jokes about me., devastated', 'Shame on them., surprised', 'It is bothering me a lot. This coworker is not competent and he spend this time making jokes on other people., surprised', ""You should report him. Anonymously. You should't have to deal with that every day., caring""]"
"I am ashamed I lied to the police., ashamed","['I lied to the police. I am ashamed., ashamed', 'You should never lie to them. What did you say?, disappointed', 'I said I did not know where my friend was., guilty', 'Did your friend do something bad? Why were they looking for them, excited']"
"I am ashamed when I cheated on the test., ashamed","['I cheated on a test. I am very ashamed., caring', ""oh no :( maybe you should confess and i'm sure you will feel better, faithful"", 'I would but I will get in trouble., caring', ""i understand. maybe next time you shouldn't cheay, terrified""]"
"I am concerned about the financial situation of my employer., afraid","['Hi_comma_ I am concerned about the financial situation of my employer., caring', 'Have  you thought about talking to your boss about it?, caring', ""I don't think it is a good idea. There was a layout off six month ago. , surprised"", 'You should still speak to him about your concerns., annoyed']"
"I am confident I will pass the test., confident","['I have studied and am sure I will pass the test., caring', 'Good luck! Do your best. you sound well prepapred., caring', 'I expect an A., sentimental', 'I hope you get it!, joyful']"
"I am devasted., devastated","['I am very devastated these days., caring', 'That seems bad and I am sorry to hear that. What happened?, caring', ""My father day 3 weeks ago.I still can't believe., confident"", 'I am truly sorry to hear that. Please accept my apologies for your loss. May he rest in peace, caring']"
"I am disgusted that the criminal got away., disgusted","['I tried to catch a criminal but he got away., caring', 'Did he have a weapon?, terrified', 'Yes but only a small knife., caring', 'What were you gonna do if you caught him?, caring']"
"I am embarrassed becauseof trump, embarrassed","['Trump embarrass me a lot., nostalgic', 'He is not for everyone, jealous', 'He is a clown that got elected president., caring', 'There have been a lot of those in politics., annoyed']"
"I am embarrassed to be a Cleveland Browns fan., ashamed","['I am embarrassed to be a fan of the Cleveland Browns., caring', 'I would be as well if I were you. Are you from the area?, caring', 'Yes. I grew up in the city., afraid', ""wasn't Johnny Manziel susposed to save that team?, afraid""]"
"I am embarrassed when I forgot my lines in the play., embarrassed","['I forget the lines in the school play. I was so embarrassed., angry', 'Oh no! Were there a lot of lines you had to remember?, prepared', 'Yes. I was the main character., sad', ""Oh wow_comma_ thats impressive but I don't blame you for forgetting lines then since there were probably tons., furious""]"
"I am excited for football season., excited","['I love football_comma_ are you ready for the season?, excited', 'Yes_comma_ when does the season start?, anticipating', ""August_comma_ Can't wait., excited"", ""That's exciting_comma_ who's your favorite team?, excited""]"
"I am excited for the baseball playoffs., excited","['I am excited for baseball playoffs. Are you?, caring', 'I watch it sometimes_comma_ It can be a little slow moving for my taste., proud', 'I love the Yankees., caring', ""Are you from New York area. I'm a little farther south_comma_ but I do like them for sure. , caring""]"
"I am excited tomorrow is my birthday, excited","['I am so excited. Tomorrow is my birthday, guilty', 'Well happy early birthday! I hope you have a great day!, lonely', ""Thanks. I can't wait for tomorrow for the party and the presents, caring"", 'I bet_comma_ I hope you get everything you want!, anticipating']"
"I am exited about the world cup final., excited","['I am so exited about Sunday., sentimental', 'What is happening on Sunday?, surprised', 'The world cup finals_comma_ the most important event in the planet., annoyed', 'Who are you pulling for? , confident', 'I want Croatia to win because they are the underdogs., sentimental', ""It's always good to see an underdog win!, sentimental""]"
"I am faithful to my wife_comma_ but it's thought, faithful","[""I am faithful to my wife_comma_ but it's thought., caring"", 'Cheating on her? I am in a relationship and not married_comma_ and I have the thought too, caring', 'My problem is a co-worker of mine.She is gorgeous and very flirting., caring', 'I understand that. I live by a college. All the insanely cute girls are always around at every shop_comma_ restaraunt_comma_ and bar., caring']"
"I am finding it hard to meet the project deadline. And this makes me anxious and stressed throughout the week, anxious","['I have a presentation to prepare for this week and I am finding it really hard to meet the deadline. I am so stressed, annoyed', 'Keep calm.That is the very important step you should take., caring', ""I know_comma_ but somehow the crippling anxiety is filling me from inside and I can't stay calm most of the time, afraid"", 'You should breath deep and start focusing on the issue in hand., impressed']"
"I am furious at Trump., furious","['I am furious at Donald Trump, excited', 'You and the rest of the world_comma_ lol. Joking. Joking. Why are you furious?, annoyed', 'Because the way he separated all those children from their parents., afraid', ""Yes_comma_ that was horrible what he did. I couldn't imagine what I would do if I had my child ripped from me, sentimental""]"
"I am grateful to be alive., grateful","['I almost died last year., prepared', ""That is a terrible thing to happen_comma_ I'm sure..., disgusted"", 'Yes I was very lucky., joyful', ""I'm happy that you are still here as well! Think of the alternative :(, caring""]"
"I am happy my brother went to the MLB., proud","['I am happy my brother plays in the MLB., sentimental', 'He does?! So exciting! What team does he play for?, disgusted', 'He plays for the New York Yankees., caring', 'They are doing really well this season! You must be so proud!, caring']"
"I am happy to be an American., proud","['I am so proud to be an American., devastated', 'I know that feeling!  Are you involved in any political or activists groups?, caring', 'No I am not., furious', 'Me neither.  But I agree with your sentiment - it is a great place to live and be a part of!, caring']"
"I am happy to have a good vacation, content","['I am satisfied to have a good vacation, caring', 'Oh yeah what are you doing for your vacation? , angry', ""Nothing special. I just travel to my familly. It has been almost a year that I didn't see them., sentimental"", 'Sounds rather special to me! Out of the country or to another state? , caring']"
"I am happy with where I am in my life at this very moment., content","['Sometimes I reflect upon my life_comma_ and at this current moment I am happy with where I am., sad', ""That's great you are happy with where you are in life. I think the place we work and the area in which we live make a big difference., sentimental"", 'I agree. At times life may seem uncertain but I know for a fact that I am on the right path to success., afraid', 'Having a clear and defined path is important. Success comes from hardwork and dedication., sad']"
"I am hopeful I win the lottery., hopeful","['I hope I win the lottery this week., grateful', ""I think it's my turn to win the lottery, caring"", 'Maybe we can split it if we win., surprised', ""Sure_comma_ That's sounds like a real plan. lol, caring""]"
"I am impress by the fact that Croatia is in the world cup final., impressed","['I am impress by the Croatian team.They beat England and got to the world cup final., angry', 'Wow I did not know that!, surprised', 'It was a huge upset.The England team was the favorite., lonely', 'Oh no. Were you upset as well?, impressed', 'No.I do not care about England., caring']"
"I am jealous of Brad Pitt., jealous","['I wish I was Brad Pitt., guilty', 'I wish i was Chris Pratt but why do you wanna be ""The Pitt"", caring', 'He makes a lot of money and is famous., disgusted', 'This is very true_comma_ But would you want to be bugged by people all the time., caring']"
"I am jealous of The Rock., jealous","['I wish I was The Rock., proud', 'What kind of rock would you want to be?, jealous', 'The actor The Rock., furious', 'So a dwayne rock., terrified']"
"I am ok with being average in life., content","['I am ok with being average., ashamed', ""I don't think there is anything wrong with average. , devastated"", 'I agree. Average is good., impressed', 'We are all average until circumstances require us to be extraordinary. , surprised']"
"I am ok with being fat., content","['I am ok with being fat., proud', ""It shouldn't matter what you look like_comma_ but why would you think you are fat?, lonely"", 'I weight more than I should., angry', ""It doesn't mean you are fat or overweight. Everyone is different., annoyed""]"
"I am old.  I am seperated from my wife.  I live far from my children.  For pragmatoic reasons I am the one that can file for divorce.  I do not want to die alone., afraid","['I am old and in good health_comma_ but death is around the corner., caring', ""You shouldn't think about death! Take each day as it comes, caring"", 'That is riduculous.  Death is inevitible., angry', 'Thinking like that seems stressful, surprised', 'Of course_comma_ but unavoiable.  Death is not really the concern_comma_ but dying., excited']"
"I am prepared for the hurricane., prepared","['I always am prepared for hurricanes., prepared', 'I live in Texas_comma_ We really dont have to worry about them here., surprised', 'I love Texas., caring', 'Texas is a great place! But I can understand the need to want to be prepared., annoyed']"
"I am pretty competitive.  So when I saw a guy from my old high school post videos of him deadlifting 335lbs and getting attention from some hot chicks I went to the gym and had my buddy record a video of me benching 350lbs. I posted it and felt better, jealous","['When I saw a guy on facebook post a video of himself deadlifting 335lbs and getting attention from some cute girls...I had my buddy record me bench pressing 350lbs which is way harder...and felt much better after that, caring', 'Wow_comma_ you are strong., impressed', 'Thanks. Been doing it for 3 years_comma_ but anyone can get there!, excited', 'What do you eat to be so strong?, impressed', 'Anything and everything. No lie, proud']"
"I am proud I graduated college., proud","['I am so happy I graduated college., caring', 'I bet! It has to feel like a huge accomplishment., anticipating', 'Yes and I had a 4.0, sad', 'I did not know you had a 4.0! How do your parents feel about that., hopeful']"
"I am ready for hockey season., excited","['I love hockey_comma_ are you ready for the season?, angry', ""I am_comma_ I like the Oilers_comma_ who's your favorite team?, anticipating"", 'I love the Leafs., faithful', 'Nice_comma_ I hope they do well this season., faithful']"
"I am ready for my vacation., prepared","['I am ready for my vacation., caring', 'So exciting! Where are you going again?, annoyed', 'I am going to Australia., annoyed', ""Whoa! That's incredible! I've never even been out of the country. Who are you going with again?, surprised""]"
"I am ready for school to start., prepared","['I am ready for school to start., excited', 'Me too! When do you start school?, caring', 'In August_comma_ when do you?, joyful', 'August as well.  What are you studying?, caring']"
"I am ready to go to a amusement park with my son., excited","['I got tickets to go to the Amusment park this weekend., caring', 'Nice. Which one?, grateful', 'Well they have one near my job. My son a Jack really wants to go so I am taking him., annoyed', 'That should be fun., hopeful', 'Yeah he has been talking about it all week long!, surprised']"
"I am ready to visit Fenway Park., excited","['I am ready to visit Fenway Park., excited', ""That's cool.  I'm still a Boston boy...lived in Lowell_comma_ MA in 4-5th grade, impressed"", 'That is cool. Have you been to Fenway Park?, proud', 'No I want to though.  Did you score tickets or something, confident']"
"I am scared of how I will die., afraid","['I am scared of how I will die., grateful', 'I worry about that too occasionally_comma_ but I just push it to the back of my mind like usual., proud', ""I hope mine isn't painful., surprised"", ""I'm sure it won't be_comma_ most people die of old age around their friends and family in a peaceful way so just hope for that., devastated""]"
"I am shocked it hasn't rained today., surprised","[""I can't believe it hasn't rained today., caring"", 'Yes_comma_ so are you having nice weather_comma_or is it too dry and need some rain?, caring', 'Yes we need rain., embarrased', 'I see. Well_comma_ maybe the weather is calling for some in the near future? I like sunshine_comma_ but know we need some rain too_comma_ hope you get some soon., caring']"
"I am so angry at Donald Trump., angry","['I am so angry at Donald Trump because he order the separation of children from their parents., joyful', 'I love Donald Trump., angry', 'There must be something wrong with your soul_comma_ then., joyful', 'No_comma_ he lowered my taxes., caring']"
"I am so annoyed by my new manager at work. He always lies to us. , annoyed","['We have a new manager at work and it isnt going well. , sentimental', 'what is your job position?, excited', 'I do sales work_comma_ but he always lies to us and takes our bonus money. , terrified', ""That's very bad, caring""]"
"I am so annoyed that France is in the world cup final., annoyed","['I am so annoyed that France is in the world cup final. I do not like their style of play, surprised', ""What is it about their style of play that you're not a fan of?, caring"", 'They are to defensive.Their games are so boring., annoyed', ""I see where you're coming from. , caring""]"
"I am so disgust at Donald Trump., disgusted","['I am so disgust at Donald Trump and his immigration policies. , caring', 'I stand behind him. Compared to the rest of the world we are to easy on illegal immigrants and this is coming from a Mexican American. , caring', ""It's coming form a traitor_comma_ you mean, caring"", 'How so because I want everyone in this place to be safe? You need to google immigration in other parts of the world and you will realize how awesome it is here., anticipating', 'I do not care about other parts of the world.I care about how my country treats immigrants., excited', ""It's sad that you have such a small mind., annoyed""]"
"I am so exited about the coming world cup final., excited","['I am so exited about the coming world cup final.It is going to be a very exiting game, caring', ""I'm not actually much of a soccer fan but the hype is hard to escape! , angry"", 'The world is the biggest sports competition worldwide_comma_ right after the Olympics., surprised', ""Yes_comma_ I'm aware_comma_ but i'm a much bigger hockey fan. , impressed"", ""I do not like to watch hockey.You can't see the puck., caring""]"
"I am so happy its the weekend., joyful","['I am happy its almost the weekend., sentimental', 'Good for you.What is the reason of all this happiness?, hopeful', 'I am going to the beach this weekend., terrified', 'You choose the best time.The summer is perfect for beaches., guilty']"
"I am so happy that France is going to the final of the soccer world cup, hopeful","['I am so happy that France is going to the final of the soccer world cup, excited', ""Wonderful! Your team I guess? That's exciting!, terrified"", 'It is exciting. It is not my prefered team but I like the way they play., surprised', ""It's great you give them the respect for that_comma_ your team or not! When is the Final?, caring""]"
"I am so happy that I passed my college course. There was a 3 point curve that made it possible., grateful","['I got lucky and passed my course this semester, caring', 'Awesome! What are you studying?, sad', 'Computer Science. There was a 3 point curve on the final that really helped me out this time., caring', 'Curves are always a good thing! I was always thankful for them., surprised']"
"I am so happy., joyful","['I am very happy lately., embarrased', 'What are you feeling happy about?, caring', 'I get to see my kids next weekend., grateful', ""That's great. I'm sure you will enjoy being with them, prepared""]"
