prompt_with_emotion,response_with_emotion
"I am afraid of the upcoming economic crisis in the USA, sadness","['I am afraid of the upcoming economic crisis in the USA.It will affect all of us., neutral', ""I almost don't want to talk about it_comma_ you know? Are you doing anything to try to move from a place of fear to one of preparation or opportunity?, sadness""]"
"I am always alone in the summer., anger","['My wife goes to Canada to visit her mom., neutral']"
"I am always alone in the summer., fear","['Why are you alone so much in the summer?, neutral', 'Do you have friends around? Go to a bar and meet some friends!, sadness']"
"I am always alone in the summer., neutral","['I am always alone in the summer., joy']"
"I am an ESL teacher and one of my 3 year old students came to school singing an entire song all about the planets. It was so cute!, fear","['Awe_comma_ I bet you felt so proud and happy for them. , fear']"
"I am an ESL teacher and one of my 3 year old students came to school singing an entire song all about the planets. It was so cute!, joy","[""I know_comma_ they can be amazing when they are learning and exploring the world... however_comma_ I still don't think having a different colored cup than the one they wanted warrants the response they tend to give. ( I have a 2 year old and a 3 year old son), anger"", 'I agree. I am still trying to figure out why they fight so much over Blippi and Peppa pig! They are both horrible_comma_ just pick one and get it over with.  I will be miserable through both_comma_ lol, sadness']"
"I am an ESL teacher and one of my 3 year old students came to school singing an entire song all about the planets. It was so cute!, neutral","['Yeah_comma_ it was a really special moment for me. Little kids that age are so cute!, neutral', 'Haha_comma_ I know that argument well. I teach some preschool/pre-k kids and they can definitely be a handful!, sadness']"
"I am an ESL teacher and one of my 3 year old students came to school singing an entire song all about the planets. It was so cute!, sadness","['I am an ESL teacher and one of my 3 year old students came to school singing an entire song all about the planets. It was so cute!, sadness']"
"I am annoyed by a coworker making joke about me., fear","['It is bothering me a lot. This coworker is not competent and he spend this time making jokes on other people., neutral']"
"I am annoyed by a coworker making joke about me., neutral","['Recently_comma_ I have been annoyed by a coworker making jokes about me., joy', 'Shame on them., anger', ""You should report him. Anonymously. You should't have to deal with that every day., joy""]"
"I am ashamed I lied to the police., fear","['You should never lie to them. What did you say?, fear', 'Did your friend do something bad? Why were they looking for them, sadness']"
"I am ashamed I lied to the police., neutral","['I lied to the police. I am ashamed., sadness', 'I said I did not know where my friend was., fear']"
"I am ashamed when I cheated on the test., anger","['I cheated on a test. I am very ashamed., sadness']"
"I am ashamed when I cheated on the test., fear","['I would but I will get in trouble., neutral']"
"I am ashamed when I cheated on the test., joy","[""i understand. maybe next time you shouldn't cheay, anger""]"
"I am ashamed when I cheated on the test., neutral","[""oh no :( maybe you should confess and i'm sure you will feel better, fear""]"
"I am concerned about the financial situation of my employer., anger","['Hi_comma_ I am concerned about the financial situation of my employer., fear', 'Have  you thought about talking to your boss about it?, joy']"
"I am concerned about the financial situation of my employer., fear","['You should still speak to him about your concerns., joy']"
"I am concerned about the financial situation of my employer., sadness","[""I don't think it is a good idea. There was a layout off six month ago. , neutral""]"
"I am confident I will pass the test., fear","['I expect an A., anger']"
"I am confident I will pass the test., joy","['I have studied and am sure I will pass the test., neutral', 'Good luck! Do your best. you sound well prepapred., joy']"
"I am confident I will pass the test., neutral","['I hope you get it!, joy']"
"I am devasted., fear","['That seems bad and I am sorry to hear that. What happened?, anger']"
"I am devasted., joy","['I am very devastated these days., sadness', ""My father day 3 weeks ago.I still can't believe., anger""]"
"I am devasted., neutral","['I am truly sorry to hear that. Please accept my apologies for your loss. May he rest in peace, sadness']"
"I am disgusted that the criminal got away., anger","['Did he have a weapon?, joy']"
"I am disgusted that the criminal got away., joy","['I tried to catch a criminal but he got away., joy']"
"I am disgusted that the criminal got away., sadness","['Yes but only a small knife., joy', 'What were you gonna do if you caught him?, fear']"
"I am embarrassed becauseof trump, fear","['There have been a lot of those in politics., sadness']"
"I am embarrassed becauseof trump, joy","['Trump embarrass me a lot., anger', 'He is not for everyone, fear']"
"I am embarrassed becauseof trump, sadness","['He is a clown that got elected president., joy']"
"I am embarrassed to be a Cleveland Browns fan., anger","['I am embarrassed to be a fan of the Cleveland Browns., neutral', 'I would be as well if I were you. Are you from the area?, anger']"
"I am embarrassed to be a Cleveland Browns fan., fear","['Yes. I grew up in the city., neutral']"
"I am embarrassed to be a Cleveland Browns fan., sadness","[""wasn't Johnny Manziel susposed to save that team?, anger""]"
"I am embarrassed when I forgot my lines in the play., fear","['Oh no! Were there a lot of lines you had to remember?, fear']"
"I am embarrassed when I forgot my lines in the play., joy","[""Oh wow_comma_ thats impressive but I don't blame you for forgetting lines then since there were probably tons., anger""]"
"I am embarrassed when I forgot my lines in the play., neutral","['I forget the lines in the school play. I was so embarrassed., joy']"
"I am embarrassed when I forgot my lines in the play., sadness","['Yes. I was the main character., sadness']"
"I am excited for football season., anger","['Yes_comma_ when does the season start?, fear', ""That's exciting_comma_ who's your favorite team?, anger""]"
"I am excited for football season., fear","['I love football_comma_ are you ready for the season?, anger']"
"I am excited for football season., joy","[""August_comma_ Can't wait., neutral""]"
"I am excited for the baseball playoffs., joy","['I love the Yankees., anger']"
"I am excited for the baseball playoffs., neutral","['I am excited for baseball playoffs. Are you?, anger']"
"I am excited for the baseball playoffs., sadness","['I watch it sometimes_comma_ It can be a little slow moving for my taste., sadness', ""Are you from New York area. I'm a little farther south_comma_ but I do like them for sure. , joy""]"
"I am excited tomorrow is my birthday, anger","['Well happy early birthday! I hope you have a great day!, neutral']"
"I am excited tomorrow is my birthday, joy","['I am so excited. Tomorrow is my birthday, fear']"
"I am excited tomorrow is my birthday, neutral","[""Thanks. I can't wait for tomorrow for the party and the presents, fear""]"
"I am excited tomorrow is my birthday, sadness","['I bet_comma_ I hope you get everything you want!, sadness']"
"I am exited about the world cup final., anger","['The world cup finals_comma_ the most important event in the planet., joy', 'Who are you pulling for? , anger', ""It's always good to see an underdog win!, anger""]"
"I am exited about the world cup final., joy","['I am so exited about Sunday., anger', 'What is happening on Sunday?, anger']"
"I am exited about the world cup final., sadness","['I want Croatia to win because they are the underdogs., sadness']"
"I am faithful to my wife_comma_ but it's thought, joy","[""I am faithful to my wife_comma_ but it's thought., neutral"", 'My problem is a co-worker of mine.She is gorgeous and very flirting., anger']"
"I am faithful to my wife_comma_ but it's thought, neutral","['I understand that. I live by a college. All the insanely cute girls are always around at every shop_comma_ restaraunt_comma_ and bar., sadness']"
"I am faithful to my wife_comma_ but it's thought, sadness","['Cheating on her? I am in a relationship and not married_comma_ and I have the thought too, anger']"
"I am finding it hard to meet the project deadline. And this makes me anxious and stressed throughout the week, anger","['I have a presentation to prepare for this week and I am finding it really hard to meet the deadline. I am so stressed, joy', 'Keep calm.That is the very important step you should take., joy']"
